state,state_FIPS,year,above_median
AK,2,2021,0
AK,2,2020,0
AK,2,2019,0
AK,2,2018,0
AK,2,2017,0
AK,2,2016,0
AK,2,2015,0
AK,2,2014,0
AK,2,2013,0
AK,2,2012,0
AK,2,2011,0
AK,2,2010,1
AK,2,2009,1
AK,2,2008,1
AK,2,2007,1
AK,2,2006,1
AK,2,2005,1
AK,2,2004,1
AK,2,2003,1
AK,2,2002,1
AK,2,2001,1
AK,2,2000,1
AL,1,2021,0
AL,1,2020,0
AL,1,2019,0
AL,1,2018,0
AL,1,2017,0
AL,1,2016,0
AL,1,2015,0
AL,1,2014,0
AL,1,2013,0
AL,1,2012,0
AL,1,2011,0
AL,1,2010,0
AL,1,2009,0
AL,1,2008,0
AL,1,2007,0
AL,1,2006,0
AL,1,2005,0
AL,1,2004,0
AL,1,2003,0
AL,1,2002,0
AL,1,2001,0
AL,1,2000,0
AZ,4,2021,1
AZ,4,2020,1
AZ,4,2019,1
AZ,4,2018,1
AZ,4,2017,1
AZ,4,2016,1
AZ,4,2015,1
AZ,4,2014,1
AZ,4,2013,1
AZ,4,2012,1
AZ,4,2011,1
AZ,4,2010,1
AZ,4,2009,1
AZ,4,2008,1
AZ,4,2007,1
AZ,4,2006,1
AZ,4,2005,1
AZ,4,2004,1
AZ,4,2003,1
AZ,4,2002,1
AZ,4,2001,1
AZ,4,2000,1
CO,8,2021,0
CO,8,2020,0
CO,8,2019,0
CO,8,2018,0
CO,8,2017,0
CO,8,2016,0
CO,8,2015,0
CO,8,2014,0
CO,8,2013,0
CO,8,2012,0
CO,8,2011,0
CO,8,2010,0
CO,8,2009,0
CO,8,2008,1
CO,8,2007,1
CO,8,2006,0
CO,8,2005,1
CO,8,2004,1
CO,8,2003,1
CO,8,2002,1
CO,8,2001,1
CO,8,2000,1
CT,9,2021,0
CT,9,2020,0
CT,9,2019,0
CT,9,2018,0
CT,9,2017,0
CT,9,2016,0
CT,9,2015,0
CT,9,2014,0
CT,9,2013,0
CT,9,2012,1
CT,9,2011,1
CT,9,2010,1
CT,9,2009,1
CT,9,2008,1
CT,9,2007,1
CT,9,2006,1
CT,9,2005,1
CT,9,2004,1
CT,9,2003,1
CT,9,2002,1
CT,9,2001,1
CT,9,2000,1
DC,11,2021,1
DC,11,2020,1
DC,11,2019,1
DC,11,2018,1
DC,11,2017,1
DC,11,2016,1
DC,11,2015,1
DC,11,2014,1
DC,11,2013,1
DC,11,2012,1
DC,11,2011,1
DC,11,2010,1
DC,11,2009,1
DC,11,2008,1
DC,11,2007,1
DC,11,2006,1
DC,11,2005,1
DC,11,2004,1
DC,11,2003,1
DC,11,2002,1
DC,11,2001,1
DC,11,2000,0
DE,10,2021,1
DE,10,2020,1
DE,10,2019,1
DE,10,2018,1
DE,10,2017,1
DE,10,2016,1
DE,10,2015,1
DE,10,2014,1
DE,10,2013,1
DE,10,2012,1
DE,10,2011,1
DE,10,2010,1
DE,10,2009,0
DE,10,2008,0
DE,10,2007,0
DE,10,2006,1
DE,10,2005,1
DE,10,2004,0
DE,10,2003,0
DE,10,2002,0
DE,10,2001,0
DE,10,2000,0
Federal,,2021,0
Federal,,2020,0
Federal,,2019,0
Federal,,2018,0
Federal,,2017,0
Federal,,2016,0
Federal,,2015,0
Federal,,2014,0
Federal,,2013,0
Federal,,2012,0
Federal,,2011,0
Federal,,2010,0
Federal,,2009,0
Federal,,2008,0
Federal,,2007,0
Federal,,2006,0
Federal,,2005,0
Federal,,2004,0
Federal,,2003,0
Federal,,2002,0
Federal,,2001,0
Federal,,2000,0
FL,12,2021,1
FL,12,2020,1
FL,12,2019,1
FL,12,2018,1
FL,12,2017,1
FL,12,2016,1
FL,12,2015,1
FL,12,2014,1
FL,12,2013,1
FL,12,2012,1
FL,12,2011,1
FL,12,2010,1
FL,12,2009,1
FL,12,2008,1
FL,12,2007,1
FL,12,2006,1
FL,12,2005,1
FL,12,2004,1
FL,12,2003,1
FL,12,2002,1
FL,12,2001,1
FL,12,2000,1
GA,13,2021,0
GA,13,2020,0
GA,13,2019,0
GA,13,2018,0
GA,13,2017,0
GA,13,2016,0
GA,13,2015,0
GA,13,2014,0
GA,13,2013,0
GA,13,2012,0
GA,13,2011,0
GA,13,2010,0
GA,13,2009,0
GA,13,2008,0
GA,13,2007,0
GA,13,2006,0
GA,13,2005,0
GA,13,2004,0
GA,13,2003,0
GA,13,2002,0
GA,13,2001,0
GA,13,2000,0
HI,15,2021,0
HI,15,2020,0
HI,15,2019,0
HI,15,2018,0
HI,15,2017,0
HI,15,2016,0
HI,15,2015,0
HI,15,2014,0
HI,15,2013,0
HI,15,2012,0
HI,15,2011,0
HI,15,2010,0
HI,15,2009,0
HI,15,2008,0
HI,15,2007,0
HI,15,2006,0
HI,15,2005,0
HI,15,2004,0
